"Title","href","Type","Area","Msg","Price"
"古亭5號出口步行1分鐘靜巷高性價比","https://rent.591.com.tw/rent-detail-11187604.html","分租套房   |  6坪   |  樓層：4/4","大安區-和平東路一段11巷","屋主陳小姐/33分鐘內更新/55人瀏覽","12,000 元/月"
"師大永康五星時尚套房","https://rent.591.com.tw/rent-detail-11218046.html","分租套房   |  8坪   |  樓層：4/4","大安區-永康街8巷","屋主李小姐/2小時內更新/1條問答/173人瀏覽","13,800 元/月"
"共生公寓咖啡館ShareHouse合租","https://rent.591.com.tw/rent-detail-11215415.html","分租套房   |  13坪   |  樓層：2/5","松山區-民生東路四段80巷","代理人陳先生/2小時內更新/166人瀏覽","13,990 元/月"
"鄰光全新裝修套房出租","https://rent.591.com.tw/rent-detail-11251257.html","分租套房   |  5坪   |  樓層：5/5","大安區-和平東路三段406巷","屋主陳小姐/2小時內更新/250人瀏覽","11,500 元/月"
"師大永康五星時尚套房","https://rent.591.com.tw/rent-detail-11218035.html","分租套房   |  7坪   |  樓層：4/4","大安區-永康街8巷","屋主李小姐/2小時內更新/1條問答/157人瀏覽","13,800 元/月"
"台大師大優質頂級麗緻套房","https://rent.591.com.tw/rent-detail-11181008.html","分租套房   |  6坪   |  樓層：4/4","大安區-羅斯福路三段333巷","屋主李小姐/2小時內更新/7條問答/128人瀏覽","12,500 元/月"
"套房出租~限女性單身~近古亭捷運站~","https://rent.591.com.tw/rent-detail-11263434.html","分租套房   |  8坪   |  樓層：1/4","大安區-羅斯福路三段17巷","代理人徐先生/3小時內更新/131人瀏覽","11,000 元/月"
"步行三分鐘直達六張犁捷運站經典套房","https://rent.591.com.tw/rent-detail-11234503.html","分租套房   |  6坪   |  樓層：3/4","大安區-樂業街65巷24號","屋主岳先生/3小時內更新/1條問答/130人瀏覽","12,000 元/月"
"粉紅精緻、優質居家套房","https://rent.591.com.tw/rent-detail-11165837.html","分租套房   |  5坪   |  樓層：1/5","松山區-南京東路五段389巷11弄11號","屋主房小姐/3小時內更新/70人瀏覽","12,000 元/月"
"2樓：優質套房，通化街靜巷，生活機能方便","https://rent.591.com.tw/rent-detail-11188993.html","分租套房   |  4.5坪   |  樓層：2/4","大安區-臨江街118巷","屋主張媽媽/3小時內更新/138人瀏覽","8,600 元/月"
"1F超優質套房~通化靜巷~生活機能方便","https://rent.591.com.tw/rent-detail-6734176.html","分租套房   |  4.5坪   |  樓層：1/3","大安區-臨江街118巷","屋主張太太/3小時內更新/164人瀏覽","9,000 元/月"
"近臨江夜市捷運信義安和101世貿","https://rent.591.com.tw/rent-detail-11277260.html","分租套房   |  3坪   |  樓層：4/5","大安區-通化街101巷","屋主胡小姐/3小時內更新/234人瀏覽","9,300 元/月"
"東區頂好商圈大套房多種房型","https://rent.591.com.tw/rent-detail-11210852.html","分租套房   |  9坪   |  樓層：4/5","大安區-敦化南路160巷","屋主孫先生/3小時內更新/63人瀏覽","15,000 元/月"
"近捷運南京三民站/舒適小套房","https://rent.591.com.tw/rent-detail-11247944.html","分租套房   |  6坪   |  樓層：2/3","松山區-南京東路五段291巷","仲介周先生/2小時內更新/32人瀏覽","14,500 元/月"
