"Title","Type","Price","Area","Msg","Review","href","Enhance"
"獨立套房出租鄰敦化國中近捷運南京復興站","獨立套房   |  8坪   |  樓層：3/4","15,000 元/月","松山區-南京東路三段256巷","屋主王太太/12分鐘內更新/1條問答/137人瀏覽","137人","https://rent.591.com.tw/rent-detail-11190152.html","黄金曝光"
"古亭•東門雙捷運站旁超優質套房~優惠中~","獨立套房   |  8坪   |  樓層：3/4","14,000 元/月","大安區-金山南路二段","屋主黃小姐/12分鐘內更新/72人瀏覽","72人","https://rent.591.com.tw/rent-detail-11265409.html","黄金曝光"
"套房空間寬敞、不用委曲自己、CP值最優","獨立套房   |  10坪   |  樓層：B1/5","13,000 元/月","松山區-民權東路五段84號","屋主曾先生/12分鐘內更新/279人瀏覽","279人","https://rent.591.com.tw/rent-detail-11193758.html","黄金曝光"
"附傢俱套房裝潢新近中山國中捷運站","獨立套房   |  7坪   |  樓層：4/5","14,000 元/月","敦北華城 松山區-復興北路231巷","屋主劉先生/12分鐘內更新/67人瀏覽","67人","https://rent.591.com.tw/rent-detail-11215446.html","黄金曝光"
"北科。忠孝新生捷運。挑高套房","獨立套房   |  10坪   |  樓層：6/6","13,800 元/月","大安區-新生南路一段12巷","屋主周小姐/12分鐘內更新/115人瀏覽","115人","https://rent.591.com.tw/rent-detail-11255425.html","黄金曝光"
"*六張犁站*遠企電梯大套房","獨立套房   |  8.5坪   |  樓層：7/7","12,000 元/月","大安區-通化街","代理人陳先生/12分鐘內更新/255人瀏覽","255人","https://rent.591.com.tw/rent-detail-11182655.html","黄金曝光"
"台北101對面基隆路2段144巷，捷運旁","獨立套房   |  7坪   |  樓層：2/4","8,900 元/月","大安區-基隆路二段144巷","屋主王先生/52分鐘內更新/388人瀏覽","388人","https://rent.591.com.tw/rent-detail-11237599.html","黄金曝光"
"捷運信義安和站101東區鄉村風(限女性","獨立套房   |  8坪   |  樓層：3/5","13,000 元/月","大安區-文昌街","代理人白小姐/2小時內更新/216人瀏覽","216人","https://rent.591.com.tw/rent-detail-11146383.html","黄金曝光"
"台北101對面基隆路2段144巷，捷運旁","獨立套房   |  6坪   |  樓層：2/4","8,700 元/月","大安區-基隆路二段144巷","屋主王先生/2小時內更新/383人瀏覽","383人","https://rent.591.com.tw/rent-detail-11237617.html","黄金曝光"
"小巨蛋柚木地板套房","獨立套房   |  6.5坪   |  樓層：2/4","9,000 元/月","松山區-健康路5巷2號","屋主李小姐/2小時內更新/403人瀏覽","403人","https://rent.591.com.tw/rent-detail-11263014.html","黄金曝光"
"English,小巨蛋新裝潢光亮通風安靜","獨立套房   |  9坪   |  樓層：4/5","14,000 元/月","松山區-南京東路四段53巷","屋主鄭小姐/3小時內更新/2條問答/414人瀏覽","414人","https://rent.591.com.tw/rent-detail-11261295.html","黄金曝光"
"民生社區敦北內科.經濟實惠.松山機場.","獨立套房   |  5坪   |  樓層：1/5","8,800 元/月","民生社區 松山區-富錦街359巷","屋主廖先生/7天前更新/113人瀏覽","113人","https://rent.591.com.tw/rent-detail-11090303.html","黄金曝光"
"🍎小巨蛋站8分鐘🍎採光佳近台視","獨立套房   |  8.5坪   |  樓層：5/5","12,500 元/月","松山區-八德路三段74巷","仲介吳小姐/7分鐘內更新/134人瀏覽","134人","https://rent.591.com.tw/rent-detail-11281701.html","黄金曝光"
"捷運信義安和站6分【超值租案★高檔裝潢】","獨立套房   |  6坪   |  樓層：2/3","14,999 元/月","大安區-光復南路","仲介羅先生/3小時內更新/188人瀏覽","188人","https://rent.591.com.tw/rent-detail-11280048.html","黄金曝光"
"公園旁一樓獨立出入口大套房","獨立套房   |  7坪   |  樓層：1/6","15,000 元/月","廣合大廈 松山區-三民路136巷","仲介林先生/3小時內更新/161人瀏覽","161人","https://rent.591.com.tw/rent-detail-11282461.html","黄金曝光"
"小巨蛋捷運套房生活機能強交通方便","獨立套房   |  11坪   |  樓層：4/4","14,000 元/月","松山區-寧安街1巷","屋主陳小姐/42分鐘內更新/2條問答/84人瀏覽","84人","https://rent.591.com.tw/rent-detail-11259521.html","VIP"
"師大套房長、短期出租","獨立套房   |  4坪   |  樓層：2/4","12,000 元/月","大安區-師大路","屋主曾太太/42分鐘內更新/108人瀏覽","108人","https://rent.591.com.tw/rent-detail-11194216.html","VIP"
"大安捷運站/瑞安街/信義路4段/四維路","獨立套房   |  10坪   |  樓層：頂樓加蓋/4","15,000 元/月","大安區-四維路","仲介王先生/52分鐘內更新/257人瀏覽","257人","https://rent.591.com.tw/rent-detail-11255034.html","VIP"
"捷運信義安和站通化夜市靜巷旁雅緻套房","獨立套房   |  8坪   |  樓層：1/3","12,000 元/月","大安區-通化街","屋主張小姐/2小時內更新/64人瀏覽","64人","https://rent.591.com.tw/rent-detail-11216709.html","VIP"
"松山區新東街6巷10號4樓","獨立套房   |  8坪   |  樓層：4/5","8,500 元/月","民生社區 松山區-新東街6巷10號","屋主潘博文/2小時內更新/3條問答/187人瀏覽","187人","https://rent.591.com.tw/rent-detail-11147311.html","VIP"
"台北市大安區永康師大精美大套房","獨立套房   |  9坪   |  樓層：4/4","14,500 元/月","大安區-金山南路二段185巷","屋主曹小姐/2小時內更新/93人瀏覽","93人","https://rent.591.com.tw/rent-detail-11203093.html","VIP"
"3分鐘到東門捷運","獨立套房   |  7坪   |  樓層：頂樓加蓋/5","15,000 元/月","大安區-金山南路二段10巷","屋主林太太/2小時內更新/83人瀏覽","83人","https://rent.591.com.tw/rent-detail-11191133.html","VIP"
"信義、敦化路口，近大安捷運站,敦南商圈","獨立套房   |  6坪   |  樓層：4/4","12,000 元/月","大安區-四維路","屋主蔡小姐/2小時內更新/160人瀏覽","160人","https://rent.591.com.tw/rent-detail-11256029.html","VIP"
"南京東路邊京三民站、交通便利生活機能良好","獨立套房   |  5坪   |  樓層：2/4","8,500 元/月","南京公寓 松山區-寶清路101巷","屋主林先生/2小時內更新/74人瀏覽","74人","https://rent.591.com.tw/rent-detail-11190907.html","VIP"
"近六張犁捷運站小套房，可短租","獨立套房   |  5坪   |  樓層：5/5","9,500 元/月","大安區-富陽街44巷10弄8號","屋主陳小姐/2小時內更新/207人瀏覽","207人","https://rent.591.com.tw/rent-detail-11264703.html","VIP"
"交通方便生活機佳的套房","獨立套房   |  7坪   |  樓層：3/4","12,000 元/月","松山區-民生東路四段99號","屋主黃先生/2小時內更新/6條問答/53人瀏覽","53人","https://rent.591.com.tw/rent-detail-11175506.html","VIP"
"一房一廳樂利路獨立套房(已出租）","獨立套房   |  7坪   |  樓層：4/4","14,000 元/月","大安區-樂利路60號","屋主林先生/2小時內更新/4條問答/39人瀏覽","39人","https://rent.591.com.tw/rent-detail-11145818.html","VIP"
"仁愛新生套房","獨立套房   |  5坪   |  樓層：4/5","12,500 元/月","獨棟公寓 大安區-新生南路一段132巷","屋主李先生/2小時內更新/60人瀏覽","60人","https://rent.591.com.tw/rent-detail-11226611.html","VIP"
"信義安和鄰近101通化夜市全新裝潢","獨立套房   |  5坪   |  樓層：3/4","12,000 元/月","大安區-光復南路692巷","屋主洪小姐/2小時內更新/232人瀏覽","232人","https://rent.591.com.tw/rent-detail-11266933.html","VIP"
"一房一廳樂利路獨立套房(已出租）","獨立套房   |  7坪   |  樓層：4/4","14,000 元/月","大安區-樂利路60號","屋主林先生/2小時內更新/4條問答/39人瀏覽","39人","https://rent.591.com.tw/rent-detail-11145818.html","VIP"
"師大商圈美寓","獨立套房   |  8坪   |  樓層：5/5","13,000 元/月","大安區-浦城街6巷","屋主陳小姐/2小時內更新/94人瀏覽","94人","https://rent.591.com.tw/rent-detail-11193973.html","VIP"
"松山站1分鐘超值獨立窗大套房E","獨立套房   |  11坪   |  樓層：5/5","10,000 元/月","松山區-松河街","屋主ANDY先生/2小時內更新/201人瀏覽","201人","https://rent.591.com.tw/rent-detail-11268584.html","VIP"
"台北市東區獨立套房","獨立套房   |  8坪   |  樓層：1/4","12,000 元/月","松山區-撫遠街389巷","屋主洪小姐/2小時內更新/31人瀏覽","31人","https://rent.591.com.tw/rent-detail-11208892.html","VIP"
"東區微風美套房","獨立套房   |  7坪   |  樓層：頂樓加蓋/4","14,000 元/月","松山區-八德路二段410巷","屋主張先生/2小時內更新/136人瀏覽","136人","https://rent.591.com.tw/rent-detail-11204636.html","VIP"
"生活機能佳、優質美套房","獨立套房   |  8坪   |  樓層：1/4","15,000 元/月","松山區-民生東路五段69巷2弄42號","屋主林先生/2小時內更新/29人瀏覽","29人","https://rent.591.com.tw/rent-detail-11251362.html","VIP"
"茄子青旅短期捷運站步行3分鐘。近小巨蛋","獨立套房   |  3坪   |  樓層：2/4","15,000 元/月","近民生社區 松山區-南京東路五段123巷1號","屋主白先生/2小時內更新/77人瀏覽","77人","https://rent.591.com.tw/rent-detail-11265238.html","VIP"
"1樓獨立空間使用！可煮食！","獨立套房   |  10坪   |  樓層：1/5","13,000 元/月","大安區-雲和街75巷","代理人洪先生/2小時內更新/184人瀏覽","184人","https://rent.591.com.tw/rent-detail-11278546.html","VIP"
"近通化夜市/信義安和站,採光通風佳","獨立套房   |  8坪   |  樓層：2/3","13,500 元/月","大安區-通化街39巷","屋主呂小姐/2小時內更新/1條問答/233人瀏覽","233人","https://rent.591.com.tw/rent-detail-11278841.html","VIP"
"微風廣場旁便宜套房","獨立套房   |  7坪   |  樓層：5/5","10,000 元/月","大安區-復興南路一段","屋主曹小姐/2小時內更新/3條問答/121人瀏覽","121人","https://rent.591.com.tw/rent-detail-11151637.html","VIP"
