"Title","Type","Price","Area","Msg","Review","href","Enhance"
"台北101對面基隆路2段144巷，捷運旁","獨立套房   |  7坪   |  樓層：2/4","8,900 元/月","大安區-基隆路二段144巷","屋主王先生/38分鐘內更新/388人瀏覽","388人","https://rent.591.com.tw/rent-detail-11237599.html","黄金曝光"
"台北101對面基隆路2段144巷，捷運旁","獨立套房   |  6坪   |  樓層：2/4","8,700 元/月","大安區-基隆路二段144巷","屋主王先生/2小時內更新/383人瀏覽","383人","https://rent.591.com.tw/rent-detail-11237617.html","黄金曝光"
"近六張犁捷運站小套房，可短租","獨立套房   |  5坪   |  樓層：5/5","9,500 元/月","大安區-富陽街44巷10弄8號","屋主陳小姐/58分鐘內更新/207人瀏覽","207人","https://rent.591.com.tw/rent-detail-11264703.html","VIP"
"近忠孝新生及大安森林優質套房(限本國籍)","獨立套房   |  6坪   |  樓層：4/5","8,500 元/月","大安區-新生南路一段139巷","代理人羅先生/58分鐘內更新/476人瀏覽","人","https://rent.591.com.tw/rent-detail-11278023.html","VIP"
"全新獨立套房","獨立套房   |  8坪   |  樓層：1/1","9,000 元/月","大安區-和平東路三段632巷","屋主盧先生/58分鐘內更新/329人瀏覽","329人","https://rent.591.com.tw/rent-detail-3425468.html","VIP"
"新裝潢、新傢俱，1層2間，活動空間大！","獨立套房   |  3.5坪   |  樓層：3/4","8,000 元/月","大安區-通化街57巷13號","屋主高媽媽/58分鐘內更新/1條問答/167人瀏覽","167人","https://rent.591.com.tw/rent-detail-11232467.html","VIP"
"忠孝敦化同領後靜巷獨立套房","獨立套房   |  5坪   |  樓層：5/5","8,500 元/月","大安區-忠孝東路四段205巷","代理人葛先生/58分鐘內更新/1條問答/285人瀏覽","人","https://rent.591.com.tw/rent-detail-11219364.html","VIP"
"微風廣場旁便宜套房","獨立套房   |  7坪   |  樓層：5/5","10,000 元/月","大安區-復興南路一段","屋主曹小姐/58分鐘內更新/3條問答/121人瀏覽","121人","https://rent.591.com.tw/rent-detail-11151637.html","VIP"
"自租101世貿300m套房設全限女整排窗","獨立套房   |  6坪   |  樓層：5/7","9,200 元/月","大安區-光復南路560巷","屋主伍先生/58分鐘內更新/75人瀏覽","75人","https://rent.591.com.tw/rent-detail-11211602.html","VIP"
"屋主自租*清幽挑高大套房~全新裝潢大空間","獨立套房   |  10坪   |  樓層：1/1","9,500 元/月","大安區-和平東路三段632巷","屋主李先生/2小時內更新/429人瀏覽","429人","https://rent.591.com.tw/rent-detail-11263941.html","VIP"
"┌忠孝復興站┬有電梯┬近SOGO┬東區┐","獨立套房   |  5坪   |  樓層：7/7","10,000 元/月","大安區-仁愛路三段143巷","仲介高先生/3小時內更新/1條問答/114人瀏覽","114人","https://rent.591.com.tw/rent-detail-11213601.html","Normal"
"大降價♥捷運東門♥大安公園♥採光好♥","獨立套房   |  7坪   |  樓層：3/3","10,000 元/月","加賴有屋內影片 大安區-永康街","仲介劉先生/4小時內更新/129人瀏覽","129人","https://rent.591.com.tw/rent-detail-11258858.html","Normal"
