"Title","Type","Price","Area","Msg","href","Enhance"
"新裝潢、新傢俱，1層2間，活動空間大！","獨立套房   |  3.5坪   |  樓層：3/4","8,000 元/月","大安區-通化街57巷13號","屋主高媽媽/14分鐘內更新/1條問答/167人瀏覽","https://rent.591.com.tw/rent-detail-11232467.html","VIP"
"近忠孝新生及大安森林優質套房(限本國籍)","獨立套房   |  6坪   |  樓層：4/5","8,500 元/月","大安區-新生南路一段139巷","代理人羅先生/14分鐘內更新/476人瀏覽","https://rent.591.com.tw/rent-detail-11278023.html","VIP"
"忠孝敦化同領後靜巷獨立套房","獨立套房   |  5坪   |  樓層：5/5","8,500 元/月","大安區-忠孝東路四段205巷","代理人葛先生/14分鐘內更新/1條問答/285人瀏覽","https://rent.591.com.tw/rent-detail-11219364.html","VIP"
"🌈信義安和站/通化夜市.乾淨/安靜套房","獨立套房   |  6坪   |  樓層：3/3","8,500 元/月","近基隆路二段/信義路/通化夜市 大安區-通化街101巷","仲介加賴專員服務/5小時內更新/10人瀏覽","https://rent.591.com.tw/rent-detail-11283017.html","Normal"
"近永康商圈女子套房","獨立套房   |  5坪   |  樓層：頂樓加蓋/4","8,500 元/月","大安區-永康街37巷","仲介劉小姐/7小時內更新/57人瀏覽","https://rent.591.com.tw/rent-detail-11229808.html","Normal"
"延吉街近國父紀念館站套房","獨立套房   |  7坪   |  樓層：頂樓加蓋/5","8,500 元/月","大安區-延吉街97巷22號","屋主王先生/22小時內更新/116人瀏覽","https://rent.591.com.tw/rent-detail-11281985.html","Normal"
"師大泰順溫馨套房","獨立套房   |  4坪   |  樓層：4/4","8,500 元/月","大安區-泰順街44巷26號","仲介陳先生/昨日更新/78人瀏覽","https://rent.591.com.tw/rent-detail-11160347.html","Normal"
"9間大套房全新裝潢不看可惜","獨立套房   |  9坪   |  樓層：1/2","8,000 元/月","大安區-和平東路三段632巷","屋主王先生/昨日更新/1條問答/231人瀏覽","https://rent.591.com.tw/rent-detail-11012757.html","Normal"
"美麗的和平套房","獨立套房   |  9坪   |  樓層：1/2","8,000 元/月","大安區-和平東路三段632巷","屋主王先生/3天前更新/133人瀏覽","https://rent.591.com.tw/rent-detail-11260247.html","Normal"
"低樓層生活機能佳近通化夜市信義安和站","獨立套房   |  5坪   |  樓層：1/3","8,000 元/月","近信義安和站 大安區-通化街123巷","仲介童先生/3天前更新/184人瀏覽","https://rent.591.com.tw/rent-detail-11138865.html","Normal"
"信義安和靜巷套房","獨立套房   |  5坪   |  樓層：3/4","8,500 元/月","通化 大安區-文昌街210巷","代理人杜小姐/13天前更新/63人瀏覽","https://rent.591.com.tw/rent-detail-11223234.html","Normal"
"工美睫作室共享空間全新裝潢錯過可惜","獨立套房   |  20坪   |  樓層：6/7","8,000 元/月","大安區-忠孝東路四段205巷","屋主許先生/30天前更新/175人瀏覽","https://rent.591.com.tw/rent-detail-11146375.html","Normal"
