"name","description","href","star","lang"
"aimacode/aima-python","Python implementation of algorithms from Russell And Norvig's ""Artificial Intelligence - A Modern Approach""","https://github.com/aimacode/aima-python","5.8k","Jupyter Notebook"
"apache/airflow","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","https://github.com/apache/airflow","22.7k","Python"
"aio-libs/aiohttp","Asynchronous HTTP client/server framework for asyncio and Python","https://github.com/aio-libs/aiohttp","11.5k","Python"
"apachecn/AiLearning","AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP","https://github.com/apachecn/AiLearning","30.7k","Python"
"pytorch/fairseq","Facebook AI Research Sequence-to-Sequence Toolkit written in Python.","https://github.com/pytorch/fairseq","13.5k","Python"
"wit-ai/pywit","Python library for Wit.ai","https://github.com/wit-ai/pywit","1.2k","Python"
"myuon/AI","artificial intelligence on python!","https://github.com/myuon/AI","84","Python"
"OlafenwaMoses/ImageAI","A python library built to empower developers to build applications and systems with self-contained Computer Vision ca…","https://github.com/OlafenwaMoses/ImageAI","6.4k","Python"
"aiortc/aiortc","WebRTC and ORTC implementation for Python using asyncio","https://github.com/aiortc/aiortc","2.5k","Python"
"ggeop/Python-ai-assistant","Python AI assistant 🧠","https://github.com/ggeop/Python-ai-assistant","289","Python"
"tuanavu/airflow-tutorial","Apache Airflow tutorial","https://github.com/tuanavu/airflow-tutorial","573","Jupyter Notebook"
"Yorko/mlcourse.ai","Open Machine Learning Course","https://github.com/Yorko/mlcourse.ai","7.8k","Python"
"Hawstein/snake-ai","a snake AI written in python","https://github.com/Hawstein/snake-ai","658","Python"
"MorvanZhou/Reinforcement-learning-with-tensorflow","Simple Reinforcement learning tutorials, 莫烦Python 中文AI教学","https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow","6.6k","Python"
"google/aiyprojects-raspbian","API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit)","https://github.com/google/aiyprojects-raspbian","1.5k","Python"
"udacity/AIPND","Code and associated files for the AI Programming with Python Nanodegree Program","https://github.com/udacity/AIPND","458","Jupyter Notebook"
"SerpentAI/SerpentAI","Game Agent Framework. Helping you create AIs / Bots that learn to play any game you own!","https://github.com/SerpentAI/SerpentAI","6k","Python"
"alfredfrancis/ai-chatbot-framework","A python chatbot framework with Natural Language Understanding and Artificial Intelligence.","https://github.com/alfredfrancis/ai-chatbot-framework","1.5k","Python"
"codota/TabNine","AI Code Completions","https://github.com/codota/TabNine","8.5k","Shell"
"brinesoftwares/Flutter-AI-Rubik-cube-Solver","Flutter-Python rubiks cube solver.","https://github.com/brinesoftwares/Flutter-AI-Rubik-cube-Solver","766","Dart"
"aidlearning/AidLearning-FrameWork","🔥🔥AidLearning is a powerful mobile development platform, AidLearning builds a linux env supporting GUI, deep learnin…","https://github.com/aidlearning/AidLearning-FrameWork","4.4k","Python"
"neuml/txtai","AI-powered search engine","https://github.com/neuml/txtai","1.1k","Python"
"MorvanZhou/Tensorflow-Tutorial","Tensorflow tutorial from basic to hard, 莫烦Python 中文AI教学","https://github.com/MorvanZhou/Tensorflow-Tutorial","4.1k","Python"
"spmallick/learnopencv","Learn OpenCV : C++ and Python Examples","https://github.com/spmallick/learnopencv","14.4k","Jupyter Notebook"
"MorvanZhou/Evolutionary-Algorithm","Evolutionary Algorithm using Python, 莫烦Python 中文AI教学","https://github.com/MorvanZhou/Evolutionary-Algorithm","953","Python"
"aiortc/aioquic","QUIC and HTTP/3 implementation in Python","https://github.com/aiortc/aioquic","725","Python"
"aiogram/aiogram","Is a pretty simple and fully asynchronous framework for Telegram Bot API written in Python 3.7 with asyncio and aiohttp.","https://github.com/aiogram/aiogram","1.9k","Python"
"sohelamin/chatbot","An AI Based Chatbot [DEPRECATED]","https://github.com/sohelamin/chatbot","345","Python"
"dhconnelly/paip-python","Peter Norvig's Paradigms of AI Programming implemented in Python","https://github.com/dhconnelly/paip-python","284","Python"
"TEAMLAB-Lecture/AI-python-connect","","https://github.com/TEAMLAB-Lecture/AI-python-connect","53","Jupyter Notebook"
"TEAMLAB-Lecture/AI-python-connect","","https://github.com/TEAMLAB-Lecture/AI-python-connect","53","Jupyter Notebook"
"chrysn/aiocoap","The Python CoAP library","https://github.com/chrysn/aiocoap","202","Python"
"fossasia/susi_python","SUSI.AI Python Wrapper","https://github.com/fossasia/susi_python","671","Python"
"tangyudi/Ai-Learn","人工智能学习路线图，整理近200个实战案例与项目，免费提供配套教材，零基础入门，就业实战！包括：Python，数学，机器学习，数据分析，深度学习，计算机视觉，自然语言处理，PyTorch tensorflow machine-lear…","https://github.com/tangyudi/Ai-Learn","3.8k",""
"PyTorchLightning/pytorch-lightning","The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.","https://github.com/PyTorchLightning/pytorch-lightning","15k","Python"
"Baidu-AIP/python-sdk","百度AI开放平台 Python SDK","https://github.com/Baidu-AIP/python-sdk","290","Python"
"fastai/numerical-linear-algebra","Free online textbook of Jupyter notebooks for fast.ai Computational Linear Algebra course","https://github.com/fastai/numerical-linear-algebra","8.1k","Jupyter Notebook"
"Zulko/easyAI","Python artificial intelligence framework for games","https://github.com/Zulko/easyAI","553","Python"
"nackjicholson/aiosql","Simple SQL in Python","https://github.com/nackjicholson/aiosql","946","Python"
"anki/vector-python-sdk","Anki Vector Python SDK","https://github.com/anki/vector-python-sdk","481","Python"
"jixinpu/aiopstools","The fundamental package for AIops with python.","https://github.com/jixinpu/aiopstools","251","Python"
"Jack-Cherish/PythonPark","Python 开源项目之「自学编程之路」，保姆级教程：AI实验室、宝藏视频、数据结构、学习指南、机器学习实战、深度学习实战、网络爬虫、大厂面经、程序人生、资源分享。","https://github.com/Jack-Cherish/PythonPark","2.9k","Python"
"NetEaseGame/aircv","Find object position based on python-opencv2","https://github.com/NetEaseGame/aircv","294","Python"
"openairplay/airplay2-receiver","AirPlay 2 Receiver - Python implementation","https://github.com/openairplay/airplay2-receiver","274","Python"
"minimaxir/aitextgen","A robust Python tool for text-based AI training and generation using GPT-2.","https://github.com/minimaxir/aitextgen","1.2k","Python"
"udacity/aipnd-project","Project code for AI Programming with Python ND Program","https://github.com/udacity/aipnd-project","88","Jupyter Notebook"
"kcwu/2048-python","2048 ai in python","https://github.com/kcwu/2048-python","64","Python"
"nderkach/airbnb-python","A Python wrapper around the Airbnb API (unofficial)","https://github.com/nderkach/airbnb-python","141","Python"
