"name","description","href","star","lang"
"yasserg/crawler4j","Open Source Web Crawler for Java","https://github.com/yasserg/crawler4j","4.1k","Java"
"spatie/crawler","An easy to use, powerful crawler implemented in PHP. Can execute Javascript.","https://github.com/spatie/crawler","2k","PHP"
"code4craft/webmagic","A scalable web crawler framework for Java.","https://github.com/code4craft/webmagic","10k","Java"
"shengqiangzhang/examples-of-web-crawlers","一些非常有趣的python爬虫例子,对新手比较友好,主要爬取淘宝、天猫、微信、豆瓣、QQ等网站。(Some interesting examples of python crawlers that are friendly to be…","https://github.com/shengqiangzhang/examples-of-web-crawlers","10.4k","Python"
"binux/pyspider","A Powerful Spider(Web Crawler) System in Python.","https://github.com/binux/pyspider","15.1k","Python"
"gnemoug/distribute_crawler","使用scrapy,redis, mongodb,graphite实现的一个分布式网络爬虫,底层存储mongodb集群,分布式使用redis实现,爬虫状态显示使用graphite实现","https://github.com/gnemoug/distribute_crawler","3.2k","Python"
"gocolly/colly","Elegant Scraper and Crawler Framework for Golang","https://github.com/gocolly/colly","14.6k","Go"
"dadoonet/fscrawler","Elasticsearch File System Crawler (FS Crawler)","https://github.com/dadoonet/fscrawler","967","Java"
"buckyroberts/Spider","Python website crawler.","https://github.com/buckyroberts/Spider","893","Python"
"bda-research/node-crawler","Web Crawler/Spider for NodeJS + server-side jQuery ;-)","https://github.com/bda-research/node-crawler","6k","JavaScript"
"s0md3v/Photon","Incredibly fast crawler designed for OSINT.","https://github.com/s0md3v/Photon","8.1k","Python"
"HunterChao/Crawler","拉钩 | 豆瓣 | 链家爬虫项目的合集","https://github.com/HunterChao/Crawler","310","Python"
"DropsDevopsOrg/ECommerceCrawlers","实战🐍多种网站、电商数据爬虫🕷。包含🕸：淘宝商品、微信公众号、大众点评、企查查、招聘网站、闲鱼、阿里任务、博客园、微博、百度贴吧、豆瓣电影、包图网、全景网、豆瓣音乐、某省药监局、搜狐新闻、机器学习文本采集、fofa资产采集、汽车之家、…","https://github.com/DropsDevopsOrg/ECommerceCrawlers","2.9k","Python"
"BruceDone/awesome-crawler","A collection of awesome web crawler,spider in different languages","https://github.com/BruceDone/awesome-crawler","4.7k",""
"fredwu/crawler","A high performance web crawler in Elixir.","https://github.com/fredwu/crawler","811","Elixir"
"loadchange/amemv-crawler","🙌Easily download all the videos from TikTok(amemv).下载指定的 抖音（Douyin） 号的视频,抖音爬虫","https://github.com/loadchange/amemv-crawler","1.9k","Python"
