"name","description","href","star","lang"
"puphpet/puphpet","Vagrant/Puppet GUI","https://github.com/puphpet/puphpet","3.9k","HTML"
"voxpupuli/puppet-jenkins","Puppet module for Jenkins","https://github.com/voxpupuli/puppet-jenkins","279","Ruby"
"elastic/puppet-elasticsearch","Elasticsearch Puppet module","https://github.com/elastic/puppet-elasticsearch","397","Ruby"
"puppetlabs/r10k","Smarter Puppet deployment","https://github.com/puppetlabs/r10k","755","Ruby"
"puppetlabs/puppetlabs-firewall","Puppet Firewall Module","https://github.com/puppetlabs/puppetlabs-firewall","266","Ruby"
"puppetlabs/puppetlabs-apache","Puppet module for the Apache httpd server, maintained by Puppet, Inc.","https://github.com/puppetlabs/puppetlabs-apache","362","Ruby"
"voxpupuli/puppet-rabbitmq","RabbitMQ Puppet Module","https://github.com/voxpupuli/puppet-rabbitmq","171","Ruby"
"theforeman/puppet-puppet","Puppet module for Puppet client and server","https://github.com/theforeman/puppet-puppet","84","Puppet"
"garethr/garethr-docker","Puppet module for managing docker","https://github.com/garethr/garethr-docker","405","Ruby"
"puppetlabs/puppetlabs-stdlib","Puppet Labs Standard Library module","https://github.com/puppetlabs/puppetlabs-stdlib","356","Ruby"
"voxpupuli/beaker","Puppet Acceptance Testing Harness","https://github.com/voxpupuli/beaker","355","Ruby"
"puppetlabs/puppetlabs-postgresql","Puppet module for managing PostgreSQL","https://github.com/puppetlabs/puppetlabs-postgresql","224","Ruby"
"puppetlabs/puppet-docs","Curated Puppet Documentation","https://github.com/puppetlabs/puppet-docs","225","HTML"
"sensu/sensu-puppet","Sensu Puppet module.","https://github.com/sensu/sensu-puppet","168","Ruby"
"puppetlabs/puppetlabs-mysql","MySQL Puppet Module / Manifests + Types & Providers","https://github.com/puppetlabs/puppetlabs-mysql","380","Ruby"
"puppetlabs/puppetdb","Centralized Puppet Storage","https://github.com/puppetlabs/puppetdb","265","Clojure"
"rodjek/puppet-logrotate","Puppet logrotate module","https://github.com/rodjek/puppet-logrotate","115","Ruby"
"theforeman/puppet-foreman","Puppet module for Foreman","https://github.com/theforeman/puppet-foreman","99","Ruby"
"voxpupuli/puppet-zabbix","Puppet module for creating and maintaining zabbix components with puppet.","https://github.com/voxpupuli/puppet-zabbix","78","Puppet"
"puppetlabs/puppetlabs-concat","File concatenation system for Puppet","https://github.com/puppetlabs/puppetlabs-concat","173","Ruby"
"voxpupuli/puppet-collectd","Collectd module for Puppet","https://github.com/voxpupuli/puppet-collectd","70","Ruby"
"elastic/puppet-logstash","Puppet module to manage Logstash","https://github.com/elastic/puppet-logstash","191","Ruby"
"puppetlabs/puppetlabs-docker","The Puppet Docker repository","https://github.com/puppetlabs/puppetlabs-docker","73","Ruby"
"puppetlabs/puppetlabs-lvm","Puppet Module to manage LVM","https://github.com/puppetlabs/puppetlabs-lvm","122","Ruby"
"puppetlabs/puppetlabs-java","Puppet Module to manage Java","https://github.com/puppetlabs/puppetlabs-java","101","Ruby"
"saz/puppet-rsyslog","Manage rsyslog through puppet","https://github.com/saz/puppet-rsyslog","50","Ruby"
"puppetlabs/puppetlabs-cloud_provisioner","Puppet Cloudpack","https://github.com/puppetlabs/puppetlabs-cloud_provisioner","109","Ruby"
"voxpupuli/puppet-nginx","Puppet Module to manage NGINX on various UNIXes","https://github.com/voxpupuli/puppet-nginx","468","Ruby"
"voxpupuli/puppet-postfix","Puppet postfix module","https://github.com/voxpupuli/puppet-postfix","72","HTML"
"vagrantpress/vagrantpress","A WordPress Development Environment With Vagrant/Puppet","https://github.com/vagrantpress/vagrantpress","747","Puppet"
"apache/infrastructure-puppet","Apache Infrastructure Puppet","https://github.com/apache/infrastructure-puppet","101","Python"
"puppetlabs/puppetlabs-ntp","Puppet module to manage the NTP service","https://github.com/puppetlabs/puppetlabs-ntp","146","Ruby"
"saz/puppet-memcached","Puppet module for memcached","https://github.com/saz/puppet-memcached","57","Ruby"
