"name","description","href","star","lang"
"fukuball/lyrics-match","本系統「再三推詞」是一個以曲找詞的舊曲新詞推薦系統，本系統提供使用者以輸入的歌曲，查詢適合搭配的歌詞。系統將根據詞曲搭配性，推薦適合搭配的歌詞，並以歌聲模擬軟體試唱。","https://github.com/fukuball/lyrics-match","18","PHP"
"fukuball/Tom-Chang-Deep-Lyrics","基於 LSTM 深度學習方法研發而成的張雨生歌詞產生模型，致敬張雨生","https://github.com/fukuball/Tom-Chang-Deep-Lyrics","84","Python"
"hhpslily/mojim_crawler","魔鏡歌詞網爬蟲","https://github.com/hhpslily/mojim_crawler","3","Python"
"furyutei/KashiKaikin","【歌詞解禁】 歌詞検索サービスの歌詞テキストコピーを可能に","https://github.com/furyutei/KashiKaikin","16","JavaScript"
"LKKTGB/kuasu","歌詞正字","https://github.com/LKKTGB/kuasu","8","Python"
"TextAliveJp/textalive-app-api","音楽に合わせてタイミングよく歌詞が動くWebアプリケーションを開発できるJavaScript API","https://github.com/TextAliveJp/textalive-app-api","61",""
"loxygenK/musical_typer","歌詞を全力でタイピングするゲームです","https://github.com/loxygenK/musical_typer","5","Python"
"Ran350/Lyrics-visualize","歌詞可視化","https://github.com/Ran350/Lyrics-visualize","3","Python"
"TextAliveJp/textalive-app-lyric-sheet","インタラクティブな歌詞カードを実装した TextAlive App API の作例","https://github.com/TextAliveJp/textalive-app-lyric-sheet","","JavaScript"
"twjefchiu/lyric_genator","AI 中文歌詞產生器","https://github.com/twjefchiu/lyric_genator","","Jupyter Notebook"
"sky880319/lrcmaker","LRC 歌詞檔案製作工具","https://github.com/sky880319/lrcmaker","4","C#"
"noriokun4649/mb_KashiNaviLyricsPlugin","MusicBeeにて歌詞ナビから歌詞取得するプラグイン","https://github.com/noriokun4649/mb_KashiNaviLyricsPlugin","2","C#"
"harry900831/mojim_lyrics_crawler","Mojim.com 魔鏡歌詞網 歌詞爬蟲","https://github.com/harry900831/mojim_lyrics_crawler","2","Python"
"kvvzr/emoly","歌詞ツイートをするぞ","https://github.com/kvvzr/emoly","2","JavaScript"
