"code","Name","Weight","Type"
"2330","台積電","60.09","股票"
"2454","聯發科","5.58","股票"
"2317","鴻海","5.38","股票"
"2303","聯電","3.03","股票"
"2308","台達電","2.5","股票"
"3711","日月光投控","1.82","股票"
"202109WTEU1F","電子指數期貨","1.21","期貨"
"2379","瑞昱","1.08","股票"
"3034","聯詠","1.08","股票"
"6415","矽力-KY","1.01","股票"
"2357","華碩","0.93","股票"
"2327","國巨","0.92","股票"
"2382","廣達","0.85","股票"
"3037","欣興","0.79","股票"
"2395","研華","0.66","股票"
"2409","友達","0.66","股票"
"3481","群創","0.6","股票"
"4938","和碩","0.55","股票"
"2301","光寶科","0.54","股票"
"2474","可成","0.54","股票"
"2324","仁寶","0.39","股票"
"2377","微星","0.37","股票"
"2492","華新科","0.37","股票"
"2344","華邦電","0.36","股票"
"8046","南電","0.36","股票"
"6669","緯穎","0.34","股票"
"5269","祥碩","0.33","股票"
"6239","力成","0.33","股票"
"3231","緯創","0.32","股票"
"2356","英業達","0.31","股票"
"2347","聯強","0.3","股票"
"2354","鴻準","0.3","股票"
"3702","大聯大","0.3","股票"
"2337","旺宏","0.29","股票"
"2353","宏碁","0.29","股票"
"2371","大同","0.28","股票"
"2383","台光電","0.28","股票"
"6409","旭隼","0.27","股票"
"4958","臻鼎-KY","0.25","股票"
"3044","健鼎","0.24","股票"
"3189","景碩","0.23","股票"
"2408","南亞科","0.22","股票"
"2449","京元電子","0.21","股票"
"2385","群光","0.2","股票"
"3714","富采","0.2","股票"
"6213","聯茂","0.2","股票"
"3023","信邦","0.19","股票"
"3661","世芯-KY","0.19","股票"
"2313","華通","0.18","股票"
"2458","義隆","0.18","股票"
"6176","瑞儀","0.18","股票"
"2352","佳世達","0.17","股票"
"2376","技嘉","0.17","股票"
"3406","玉晶光","0.16","股票"
"6116","彩晶","0.16","股票"
"6269","台郡","0.16","股票"
"3443","創意","0.15","股票"
"3533","嘉澤","0.15","股票"
"6531","愛普","0.15","股票"
"2441","超豐","0.11","股票"
"3653","健策","0.11","股票"
"3706","神達","0.1","股票"
"6456","GIS-KY","0.09","股票"
"3532","台勝科","0.05","股票"
