"Title","URL","Author"
"Bội Bạc Karaoke Tone Nam Nhạc Sống 2021 | Trọng Hiếu","https://www.youtube.com/watch?v=dQhCSXfZq8g","Hiếu Organ"
"Cây Cầu Dừa Karaoke Tone Nữ Nhạc Sống 2021 | Trọng Hiếu","https://www.youtube.com/watch?v=mq9vq7S2-Vo","Hiếu Organ"
"Karaoke Buồn Làm Chi Em Ơi ( Tone Nữ ) Bolero Ballad Nhạc Sống","https://www.youtube.com/watch?v=vGxbkw35PU4","Karaoke Tú Anh"
"Nina - Someday (Karaoke Version)","https://www.youtube.com/watch?v=74JX3_FvS9s","Sing King"
"Karaoke night with your BFFs | Hospital Playlist Ep 3 [ENG SUB]","https://www.youtube.com/watch?v=cEH0qO2OY_g","The Swoon"
"Karaoke Đường Tím Bằng Lăng Tone Nữ Nhạc Sống | Trọng Hiếu","https://www.youtube.com/watch?v=RY0awHbuREE","Hiếu Organ"
"Karaoke Liên Khúc Nhạc Sống Bolero Tone Nữ | Trả Lại Thời Gian | Nhật Ký Đời Tôi","https://www.youtube.com/watch?v=Spv7e4u5Ouo","Karaoke Tuấn Cò"
"Karaoke Liên Khúc Nhạc Sống Trữ Tình Tone Nam | Ai Cho Tôi Tình Yêu | Người Đi Ngoài Phố","https://www.youtube.com/watch?v=oWJm1bybK6M","Karaoke Tuấn Cò"
"Karaoke Người Đến Từ Triều Châu Tone Nữ Nhạc Sống Beat Hay","https://www.youtube.com/watch?v=1MhOtX6TzU8","Karaoke Tuấn Cò"
"Lady Gaga, Bradley Cooper - Shallow (A Star Is Born) (Karaoke Version)","https://www.youtube.com/watch?v=_nHT_k9Rswc","Sing King"
"More Than Words - Extreme ( Acoustic Karaoke )","https://www.youtube.com/watch?v=2v5rU97qb_M","anz works"
"The Scientist - Acoustic karaoke (Coldplay)","https://www.youtube.com/watch?v=AteYPdY36xo","Acoustic Lounge"
"KARAOKE粵語流行曲金光燦爛徐小鳳演唱會 87 Cantonese Pops with Lyrics- Paula Tsui’s Glittering & Bright Concert '87","https://www.youtube.com/watch?v=HTR-LPtaFWE","hkrainbow mission"
"《機智醫生生活 OST Part.3》曹政奭 - Aloha (아로하) 官方MV【中字】#曹政奭 #機智醫生生活","https://www.youtube.com/watch?v=G3tVlR2kyKc","Chojungseok Taiwan FanClub"
"Karaoke Thành Phố Buồn | Nhạc Sống Tone Nam | Karaoke Công Trình","https://www.youtube.com/watch?v=dtZExyqJ1XU","Karaoke Công Trình"
"【劉在錫】羞曝求婚過程超甜蜜 Gummy清唱老公曹政奭《Aloha》","https://www.youtube.com/watch?v=F6V1SvAxRtI","達人秀新聞"
"Mitski - Nobody (Karaoke Version)","https://www.youtube.com/watch?v=64gK32or-Fc","Sing King"
"I SWEAR - All 4 One (HD Karaoke)","https://www.youtube.com/watch?v=jXDa2YJAQ4s","Atomic Karaoke"
"Karaoke Liên Khúc Remix Trữ Tình Tone Nữ | Cây Cầu Dừa | Tôi Vẫn Nhớ","https://www.youtube.com/watch?v=_vJrseWXANU","Karaoke Tuấn Cò"
"Đêm Tâm Sự Karaoke Tone Nữ Nhạc Sống 2021 | Trọng Hiếu","https://www.youtube.com/watch?v=nO0z7vibQmE","Hiếu Organ"
"Christina Perri - A Thousand Years (Karaoke Version)","https://www.youtube.com/watch?v=j1V33b2ZEIo","Sing King"
"Closer You And I - Gino Padilla (KARAOKE VERSION)","https://www.youtube.com/watch?v=x2yU9xfsKtY","Pinoy Videoke Tambayan"
"Anne Marie - 2002 (Karaoke Version)","https://www.youtube.com/watch?v=xb3oMef3hnc","Sing King"
"Karaoke Quê Hương Tone Nữ | Quê Hương Là Chùm Khế Ngọt","https://www.youtube.com/watch?v=ximA7VJ2m6o","Karaoke Tuấn Cò"
