"Title","URL","Time","Author","Type"
"創世紀 01/50 | 羅嘉良、郭晉安、陳錦鴻、古天樂、郭可盈、蔡少芬 | 粵語中字 | TVB 1999","https://www.youtube.com/watch?v=LDuwxMvbZXQ","24萬次","TVB Best Drama 熱播劇場","item"
"創世紀 Centuria","https://www.youtube.com/watch?v=Z43CNG3lz-U","48萬次","RediCural","item"
"大衛鮑森舊約縱覽 - 創世記(一) 聖經的基礎","https://www.youtube.com/watch?v=fizg-bxIjuY","31萬次","大衛鮑森國際中文頻道","item"
"经典重温《创世纪》：地产风云（1-4）虫虫机失败，事业重起步。","https://www.youtube.com/watch?v=KZVylzFI8ao","3357次","老贾说电影","item"
"科學的創世紀","https://www.youtube.com/watch?v=ToqplT-5UWQ","5253次","jasonmel","item"
"圣经讲解创世纪第01章 Bible Genesis01","https://www.youtube.com/watch?v=MoVM71WHSUE","7472次","讲解圣经","item"
"聖經片段【創世紀1:1~2:4】","https://www.youtube.com/watch?v=68DxrEOz914","2.5萬次","耶穌是主Jesus is Lord","item"
"《讀聖經》系列：創世記 上半部分 Genesis 1-11","https://www.youtube.com/watch?v=S38rIpQrVS8","8.3萬次","BibleProject - Cantonese Chinese 粵語","item"
"八分鐘讀完聖經","https://www.youtube.com/watch?v=ot-iWptQPdw","41萬次","jasonmel","item"
"投資Stocknology_股 [第四集] Candlestick教學 : 射击之星:Shootingstar]] {创世纪} : [[終极戰]] 鹿死谁手","https://www.youtube.com/watch?v=_TukIBkU2s8","12萬次","EL StockTrooper","item"
"台北愛樂雲端音樂會Concerts in the Clouds－海頓《創世記》Haydn: Die Schöpfung","https://www.youtube.com/watch?v=hQcn0W-TwbU","8020次","台北愛樂Taipei Philharmonic","item"
"創世記1章/陪你讀聖經《聖經讀不懂怎麼辦？》","https://www.youtube.com/watch?v=xKRtayRyvUE","4萬次","JAM愛的影響力","item"
"圣经讲解创世纪第31章 Bible Genesis31","https://www.youtube.com/watch?v=CpoDiuWH-Ms","907次","讲解圣经","item"
"圣经讲解创世纪第9章 Bible Genesis 09","https://www.youtube.com/watch?v=kMXl8uEVFP4","1538次","讲解圣经","item"
"經典港劇【創世紀】主題曲。","https://www.youtube.com/watch?v=SXuv3AzboZo","24萬次","ZERO零的領域","item"
"圣经讲解创世纪第10章 Bible Genesis 10","https://www.youtube.com/watch?v=QjounxuDD60","782次","讲解圣经","item"
"創世紀 14/50 | 羅嘉良、郭晉安、陳錦鴻、古天樂、郭可盈、蔡少芬 | 粵語中字 | TVB 1999","https://www.youtube.com/watch?v=6YaQUDkIQBY","2.7萬次","TVB Best Drama 熱播劇場","item"
