"Title","URL","Author"
"教會直播【完整教學】(很無聊的影片)","https://www.youtube.com/watch?v=ub1JrWQbiW0","BrotherNai 迺哥ㄋㄞˇㄍㄜ"
"主日歡慶直播1 | 如何藉著休憩享受平安 - 季榮和 牧師","https://www.youtube.com/watch?v=YZIT5tgfRDg","旌旗教會"
"2021.08.08 新竹北門聖教會主日直播","https://www.youtube.com/watch?v=jjG8Ixff-as","主日信息直播新竹北門聖教會"
"「真耶穌教會臺灣總會教牧處」直播","https://www.youtube.com/watch?v=qqw3vXkrFN0","真耶穌教會臺灣總會教牧處"
"主日崇拜｜線上直播｜疫苗是獸印嗎？末日與被提｜在家做主日｜10:30-12:30｜恩寵教會","https://www.youtube.com/watch?v=AIoJ_0FWGqM","Hesed恩寵教會/東森雲端教會"
"【直播存檔】 | 如何在天父的同在中享受平安 - 蕭祥修 牧師","https://www.youtube.com/watch?v=qoRnD_wZS-U","旌旗教會"
"「真耶穌教會臺灣總會教牧處」直播","https://www.youtube.com/watch?v=Xc1gJ9RHqX0","真耶穌教會臺灣總會教牧處"
"直播存檔20210725｜ 為命定的成全撒種 - 蕭祥修 主任牧師","https://www.youtube.com/watch?v=nzNYeq6xF4w","旌旗教會"
"如何製作線上主日崇拜 #直播 #網路教會","https://www.youtube.com/watch?v=M3UgPbjZPls","Alvan Jiing 井鵬雲"
"主日歡慶直播2 | 如何藉著休憩享受平安 - 季榮和 牧師","https://www.youtube.com/watch?v=UZejS0iraJs","旌旗教會"
"2021.06.06 雙連教會 第二堂華語禮拜直播【聖經人物系列(六十一)~以利沙(六)】","https://www.youtube.com/watch?v=-tJP6MC3eJ8","ShuangLienTV台灣基督長老教會 雙連教會"
"辛龍女友在美國產下一子！辛龍決定拋棄女兒，在美國定居，辛龍坦言：過去就過去了，女兒我也交給劉真父母了，我可以安心在美國了！","https://www.youtube.com/watch?v=ssy8tTRO3os","生活百科"
"黃以文 牧師 – 為慷慨的給予撒種｜20210718","https://www.youtube.com/watch?v=rUruaCjXWEA","旌旗教會"
"2021_05_15  跨越(2): 脫離奴僕的重軛, 活在王面前 | 江秀琴 牧師","https://www.youtube.com/watch?v=QZVjqZwUjao","慕主先鋒教會 Forerunner Christian Church"
"蕭祥修 牧師 – 為命定的成全撒種｜20210725","https://www.youtube.com/watch?v=wBh_M663Xn0","旌旗教會"
"8月8日 主日禮拜線上直播","https://www.youtube.com/watch?v=OiMqafYCPSg","濟南教會"
"快樂人Men's talk  愛家男人【 Live聚會完整版 】王培安、蔡岡樺弟兄｜TC真道教會","https://www.youtube.com/watch?v=zu6NjRy-Whs","Truth Church 真道教會"
"教會使用線上直播設備及軟體基本教學","https://www.youtube.com/watch?v=l3kCavTR6ww","撒蜜哪.以使馬哈善(SamingazIsmahasan)"
"2021.08.01 新竹北門聖教會 主日信息直播","https://www.youtube.com/watch?v=W5Sk56vThtY","主日信息直播新竹北門聖教會"
"『教會直播，簡單上手』分享會","https://www.youtube.com/watch?v=Yk1rXEnofGY","The Hope"
"2021/6/27【心欣城市教會主日直播】你非跨越不可！","https://www.youtube.com/watch?v=KNCXJPTAcV4","Star City Church Bethlehem心欣城市教會"
"20180119 台北教會星期五晚間聚會 - 在神凡事都能","https://www.youtube.com/watch?v=MBZPNph-8bw","真耶穌教會台北教會直播頻道"
"2021.05.30 雙連教會 第二堂華語禮拜直播 【聖經人物系列(六十)~以利沙(五)】","https://www.youtube.com/watch?v=MT8PogzbByw","ShuangLienTV台灣基督長老教會 雙連教會"
"2021.5 .23 雙連教會  第二堂華語禮拜直播","https://www.youtube.com/watch?v=mY1AEW52gmk","ShuangLienTV台灣基督長老教會 雙連教會"
"【直播存檔】20210627 | 財富自由的實踐家 - 季榮和 牧師","https://www.youtube.com/watch?v=iXrGv-0CWqQ","旌旗教會"
"【Live】2021.05.23 聖靈心樂園│主日崇拜 │松慕強牧師","https://www.youtube.com/watch?v=tG_QBu1ae-c","iM行動教會"
"2021.05.30 新竹北門聖教會 主日信息直播","https://www.youtube.com/watch?v=kt4KncL9RW8","主日信息直播新竹北門聖教會"
"2021.06.06 新竹北門聖教會 主日信息直播","https://www.youtube.com/watch?v=IaXbhIx7dy0","主日信息直播新竹北門聖教會"
"「iM行動教會」直播","https://www.youtube.com/watch?v=sCEqS3FB59s","iM行動教會"
"「iM行動教會」直播","https://www.youtube.com/watch?v=hNwwCr1ZtvQ","iM行動教會"
"2021/08/08【心欣城市教會主日直播】","https://www.youtube.com/watch?v=MqKr19J3BUY","Star City Church Bethlehem心欣城市教會"
"【直播存檔】20210228主日歡慶","https://www.youtube.com/watch?v=iMoPfjyVJIU","旌旗教會"
"主日歡慶直播1 | 為美好的關係撒種 - 季榮和 牧師","https://www.youtube.com/watch?v=w17zqmVoIqY","旌旗教會"
"最後生還者【 Live聚會完整版 】李協聰牧師｜TC真道教會","https://www.youtube.com/watch?v=W5Onn7WvyZU","Truth Church 真道教會"
"「淡水教會」直播","https://www.youtube.com/watch?v=GBtTaNre9kQ","淡水教會"
