"Title","URL","Time","Author","Type"
"#01【有聲聖經】創世記：中文和合本聖經100週年紀念(1919-2019)","https://www.youtube.com/watch?v=i2UBCxwUL-s","25萬次","David Yen閻大衛","item"
"圣经讲解创世纪第01章 Bible Genesis01","https://www.youtube.com/watch?v=MoVM71WHSUE","7472次","讲解圣经","item"
"圣经讲解创世纪第31章 Bible Genesis31","https://www.youtube.com/watch?v=CpoDiuWH-Ms","907次","讲解圣经","item"
"圣经讲解创世纪第30章 Bible Genesis30","https://www.youtube.com/watch?v=69FdKUjAayY","1069次","讲解圣经","item"
"大衛鮑森舊約縱覽 - 創世記(一) 聖經的基礎","https://www.youtube.com/watch?v=fizg-bxIjuY","31萬次","大衛鮑森國際中文頻道","item"
"圣经讲解创世纪第9章 Bible Genesis 09","https://www.youtube.com/watch?v=kMXl8uEVFP4","1538次","讲解圣经","item"
"和合本圣经 • 创世记 | Chinese Union Version Bible • Genesis","https://www.youtube.com/watch?v=69yFnhE0uh4","54萬次","神的話語","item"
"圣经讲解创世纪第10章 Bible Genesis 10","https://www.youtube.com/watch?v=QjounxuDD60","782次","讲解圣经","item"
"寇紹涵牧師: 創世記一至十一章信息分享","https://www.youtube.com/watch?v=lnU9KBpuBcc","9.4萬次","Light of Morning Star Studio","item"
"耶稣电影 - 中文 - Mandarin - Chinese 🇨🇳🇹🇼 - 1Billion.org 耶稣基督 - 耶稣基督是上帝吗? - 神 - 认识上帝","https://www.youtube.com/watch?v=qGsaYPg3mLE","46萬次","1Billion You","item"
"【震撼】舊約聖經中記載的人類起源才是真實的 | 老高與小茉 Mr & Mrs Gao","https://www.youtube.com/watch?v=iEeBnhMadkk","505萬次","老高與小茉 Mr & Mrs Gao","item"
"5分鐘看懂聖經舊約","https://www.youtube.com/watch?v=oBPGBk3rLxA","61萬次","HBC777777","item"
"八分鐘讀完聖經","https://www.youtube.com/watch?v=ot-iWptQPdw","41萬次","jasonmel","item"
"#01 【創世記】【有聲聖經字幕版】中文和合本聖經100週年紀念（修正版）","https://www.youtube.com/watch?v=eq1PYzmKQh4","3.5萬次","David Yen閻大衛","item"
"《读圣经》系列：创世记 上集 Genesis 1-11","https://www.youtube.com/watch?v=BuG9tKLsl7o","11萬次","BibleProject - Mandarin Chinese 普通话","item"
"創世記1章/陪你讀聖經《聖經讀不懂怎麼辦？》","https://www.youtube.com/watch?v=xKRtayRyvUE","4萬次","JAM愛的影響力","item"
"《读圣经》系列：创世记 下集 Genesis 12-50","https://www.youtube.com/watch?v=sT67Uat1uoE","5.2萬次","BibleProject - Mandarin Chinese 普通话","item"
"思高聖經 • 創世紀（Genesis）","https://www.youtube.com/watch?v=vq5rZMUa-VY","1998次","神的話語","item"
"《讀聖經》系列：創世記 上半部分 Genesis 1-11","https://www.youtube.com/watch?v=S38rIpQrVS8","8.3萬次","BibleProject - Cantonese Chinese 粵語","item"
"《创世纪》圣经讲座 第三讲 撒旦与人的堕落","https://www.youtube.com/watch?v=aoJpawYlCCc","1953次","新人 NEWMAN","item"
"聖經簡報站：創世記40-42章","https://www.youtube.com/watch?v=2BpDlkfTNgc","1萬次","BiblePoint .net","item"
"200401 創世記 1章1~2章3節","https://www.youtube.com/watch?v=pvvevxT3zH4","4萬次","淡江教會-國度影音","item"
"[聽聖經學英語]中英聖經 創世紀第一章 神創造天地  Genesis 1","https://www.youtube.com/watch?v=YrXpAs3R7_s","3065次","[聽聖經學英語Listen to Bible]中英聖經","item"
