"Title","URL","Author"
"2021.06.06 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=QB1gzisunRE","中壢長老教會"
"2021.05.30 雙連教會 第二堂華語禮拜直播 【聖經人物系列(六十)~以利沙(五)】","https://www.youtube.com/watch?v=MT8PogzbByw","ShuangLienTV台灣基督長老教會 雙連教會"
"2021.04.04 台北和平長老教會 主日禮拜","https://www.youtube.com/watch?v=0okg-Zt2cJw","台北和平教會直播"
"2021.8.8 中壢長老教會 台語禮拜直播","https://www.youtube.com/watch?v=o6qqSLOkL-g","中壢長老教會"
"2021.8.8 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=rnDOMyGT9NU","中壢長老教會"
"[台灣基督長老教會 南港教會] 20210725 聯合禮拜直播","https://www.youtube.com/watch?v=TSm3-Go1rf4","南港教會台灣基督長老教會"
"中芸長老教會直播操作流程","https://www.youtube.com/watch?v=hFXgrMBNBpQ","David Chi"
"2021.8.1 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=G9uBsbdzJE0","中壢長老教會"
"【和順基督長老教會】2021/08/01 主日禮拜直播","https://www.youtube.com/watch?v=CXLoIZa3K7U","和順基督長老教會"
"2021.06.20 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=9G3bpPvpmns","中壢長老教會"
"2021.7.4 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=oMyrvRX5V7U","中壢長老教會"
"2021.05.16 台北和平長老教會 主日禮拜","https://www.youtube.com/watch?v=VAIFC4sWTes","台北和平教會直播"
"8月8日 主日禮拜線上直播","https://www.youtube.com/watch?v=OiMqafYCPSg","濟南教會"
"長老教會台語聖詩 # 347  有時咱經過美麗清靜河墘 It is well with my Soul","https://www.youtube.com/watch?v=yfsnKPW0e1Q","peterwenchihlee"
"20210524_PPC Devotion｜讓世界認識經歷祢 // 葛兆昕牧師","https://www.youtube.com/watch?v=Eb1TjF8Wiho","屏東和平教會 Official"
"教會直播【完整教學】(很無聊的影片)","https://www.youtube.com/watch?v=ub1JrWQbiW0","BrotherNai 迺哥ㄋㄞˇㄍㄜ"
"2021.05.30 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=WuUZd5DZv3w","中壢長老教會"
"七堵長老教會20210425主日禮拜直播 (李旻諺 牧師主禮)","https://www.youtube.com/watch?v=_lv1ASt7nVU","七堵教會"
"2021.7.11 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=vi9zlG-gf-4","中壢長老教會"
"20210620 佳義基督長老教會主日禮拜直播【生命不會重來的提醒】","https://www.youtube.com/watch?v=9EnVrVuazio","佳義基督長老教會"
"2021. 02.28雙連教會  華語禮拜直播 【北區大專事工奉獻主日】","https://www.youtube.com/watch?v=eHcimzieaDo","ShuangLienTV台灣基督長老教會 雙連教會"
"2021.7.18 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=-1ZaLWUCynE","中壢長老教會"
"2021.05.23 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=kzGetM78szM","中壢長老教會"
"2021.7.25 中壢長老教會 華語禮拜直播","https://www.youtube.com/watch?v=CqSJ5-pIXx0","中壢長老教會"
"2021/4/18 9:00 中壢基督長老教會禮拜直播：亞伯蘭的信心","https://www.youtube.com/watch?v=qacxPXLj9TE","中壢長老教會"
"2021.04.11雙連教會  台語禮拜直播  聖經人物系列(五十六)∼以利沙(一）","https://www.youtube.com/watch?v=MqaVCY-N63E","ShuangLienTV台灣基督長老教會 雙連教會"
"8月15日 第二場主日禮拜線上直播","https://www.youtube.com/watch?v=J7zGZRAhGTw","濟南教會"
