"Title","Type","Area","Source","PIC","Tel","href","Addr","Pos"
"IGM台中國際基督教會﹝日語﹞","教會","台灣 - 台中市","igmtaiwan234@gmail.com","平瀬義樹 牧師","04-2320-2931","https://church.oursweb.net/church.php?pkey=811224","403020台中市西區台灣大道二段545號8樓之3","{""lat"":""24.156978"",""lng"":""120.65874489999999""}"
"一心聖教會","教會","台灣 - 台中市","台灣聖教會總會","陳晁偉 牧師","04-2527-8503","https://church.oursweb.net/church.php?pkey=811227","420012台中市豐原區豐南街92巷14號","{""lat"":""24.2390235"",""lng"":""120.71441389999995""}"
"台灣基督長老教會七美教會（澎湖）","教會","台灣 - 澎湖縣","台灣基督長老教會總會事務所","何素免 傳道師","06-997-1220","https://church.oursweb.net/church.php?pkey=811230","883001澎湖縣七美鄉南港村5鄰26-27號","{""lat"":""23.19852688616993"",""lng"":""119.4252769021607""}"
"台灣基督長老教會七張教會","教會","台灣 - 新北市","台灣基督長老教會總會事務所","陳俊宏 牧師","02-2911-8765","https://church.oursweb.net/church.php?pkey=811232","231013新北市新店區平等街10號","{""lat"":""24.97423"",""lng"":""121.53685""}"
"台灣基督長老教會九如教會（壽中）","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","謝拱德 牧師","07-531-6976","https://church.oursweb.net/church.php?pkey=811234","804012高雄市鼓山區九如四路904號","{""lat"":""22.6541590"",""lng"":""120.2793030""}"
"台灣基督長老教會九族聯合教會","教會","台灣 - 南投縣","台灣基督長老教會總會事務所","趙憶凡 牧師","049-289-9505, 0922-741-353","https://church.oursweb.net/church.php?pkey=811236","555007南投縣魚池鄉東池村文武巷15號","{""lat"":""23.8919855"",""lng"":""120.94034320000003""}"
"台灣基督長老教會二林教會","教會","台灣 - 彰化縣","台灣基督長老教會總會事務所","戴智彰 牧師","04-896-0003","https://church.oursweb.net/church.php?pkey=811238","526021彰化縣二林鎮中正路13號","{""lat"":""23.8991680"",""lng"":""120.3692740""}"
"二空基督教會","教會","台灣 - 台南市","tainan2konchurch@yahoo.com.tw","徐京台","06-267-5186","https://church.oursweb.net/church.php?pkey=811240","717006台南市仁德區成功里保華路281號","{""lat"":""22.9576044"",""lng"":""120.2267506""}"
"二苓福音教會","教會","台灣 - 高雄市","https://www.facebook.com/erlinggc198807/","鄭室宜 牧師","07-801-8344","https://church.oursweb.net/church.php?pkey=811243","812012高雄市小港區漢民路381號10樓","{""lat"":""22.5669840"",""lng"":""120.3567430""}"
"台灣基督長老教會二重埔教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","連江河 牧師","03-582-6932","https://church.oursweb.net/church.php?pkey=811245","310016新竹縣竹東鎮中興路二段335號","{""lat"":""24.7636200"",""lng"":""121.0593860""}"
"社團法人中華基督教福音協進會","教育訓練","台灣 - 新北市","postmaster@ccea.org.tw","夏忠堅 牧師","02-8660-1070","https://church.oursweb.net/church.php?pkey=811223","234635新北市永和區保生路1號20樓","{""lat"":""25.0071409"",""lng"":""121.5066000""}"
"台灣基督長老教會一心教會","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","","07-722-8454","https://church.oursweb.net/church.php?pkey=811225","806026高雄市前鎮區一心一路268號","{""lat"":""22.607914"",""lng"":""120.31874500000004""}"
"台灣基督長老教會一甲教會","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","李宏恩 牧師","07-771-8155","https://church.oursweb.net/church.php?pkey=811228","830036高雄市鳳山區南昌街118號","{""lat"":""22.6049890"",""lng"":""120.3398680""}"
"台灣基督長老教會七堵教會","教會","台灣 - 基隆市","台灣基督長老教會總會事務所","李旻諺 牧師","02-2456-5544","https://church.oursweb.net/church.php?pkey=811231","206002基隆市七堵區永富路78之1號","{""lat"":""25.09980181769615"",""lng"":""121.71555419199603""}"
"台灣基督長老教會九如教會（屏中）","教會","台灣 - 屏東縣","台灣基督長老教會總會事務所","王中武 牧師","08-739-5551","https://church.oursweb.net/church.php?pkey=811233","904007屏東縣九如鄉九如路二段224巷8號","{""lat"":""22.732819353890232"",""lng"":""120.48953678902433""}"
"台灣基督長老教會九曲堂教會","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","盧輝哲 牧師","07-651-5551","https://church.oursweb.net/church.php?pkey=811235","840001高雄市大樹區久堂路城隍巷7之10號2樓","{""lat"":""22.6595711"",""lng"":""120.4213296""}"
"台灣基督長老教會二水教會","教會","台灣 - 彰化縣","台灣基督長老教會總會事務所","","04-879-2147","https://church.oursweb.net/church.php?pkey=811237","530019彰化縣二水鄉聖化村拜堂巷2號","{""lat"":""23.8096309213874"",""lng"":""120.61792065410611""}"
"二林靈糧教會","教會","台灣 - 彰化縣","靈糧全球使徒性網絡","劉永行 牧師","04-896-1117","https://church.oursweb.net/church.php?pkey=811239","526023彰化縣二林鎮北平里民有街36號","{""lat"":""23.9059485"",""lng"":""120.3694821""}"
"台灣基督長老教會二苓教會","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","","07-801-9221","https://church.oursweb.net/church.php?pkey=811241","812020高雄市小港區宏平路308號","{""lat"":""22.5700687"",""lng"":""120.3607831""}"
"台灣基督長老教會二重埔教會","教會","台灣 - 新北市","台灣基督長老教會總會事務所","陳志聰 牧師","02-2995-6658","https://church.oursweb.net/church.php?pkey=811244","241019新北市三重區中興北街42巷17弄6號3樓","{""lat"":""25.0498290"",""lng"":""121.4687590""}"
"台灣基督長老教會二集團教會","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","溫宗義 牧師","07-689-5600, 0926-243-361","https://church.oursweb.net/church.php?pkey=811247","848005高雄市桃源區寶山里二集團80之5號","{""lat"":""23.0554094"",""lng"":""120.7215911""}"
"台灣基督長老教會人倫教會","教會","台灣 - 南投縣","台灣基督長老教會總會事務所","全天文 牧師","049-277-3240","https://church.oursweb.net/church.php?pkey=811250","556006南投縣信義鄉人和村民生巷34號","{""lat"":""23.7794430"",""lng"":""120.8967290""}"
"台灣基督長老教會八里灣教會","教會","台灣 - 花蓮縣","台灣基督長老教會總會事務所","曾志雄 傳道師","03-879-1660","https://church.oursweb.net/church.php?pkey=811253","977005花蓮縣豐濱鄉豐濱村15鄰八里灣8號","{""lat"":""23.568441"",""lng"":""121.487042""}"
"台灣基督長老教會八德教會（壽中）","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","莊書楣 牧師","07-374-1096","https://church.oursweb.net/church.php?pkey=811256","814031高雄市仁武區八德南路100巷2弄29號","{""lat"":""22.685394327613896"",""lng"":""120.33818657944325""}"
"中壢禮拜堂","教會","台灣 - 桃園市","g0955268093@gmail.com","黃崇喜","0955-548-811","https://church.oursweb.net/church.php?pkey=811259","320028桃園市中壢區中華路一段859號2-3樓","{""lat"":""24.967028"",""lng"":""121.245396""}"
"台灣基督長老教會力里教會","教會","台灣 - 屏東縣","台灣基督長老教會總會事務所","邱河泉 牧師","08-879-1623","https://church.oursweb.net/church.php?pkey=811261","942008屏東縣春日鄉力里村圓山路66號","{""lat"":""22.4339930"",""lng"":""120.6482740""}"
"台灣基督長老教會三一教會（中中）","教會","台灣 - 台中市","台灣基督長老教會總會事務所","李佳明 牧師","04-2371-8748","https://church.oursweb.net/church.php?pkey=811264","403003台中市西區大全街158號","{""lat"":""24.1329220"",""lng"":""120.6679010""}"
"台灣基督長老教會三一教會（星中）","教會","台灣 - 台北市","台灣基督長老教會總會事務所","徐信得 牧師","02-2769-6505","https://church.oursweb.net/church.php?pkey=811267","105070台北市松山區三民路148號2樓","{""lat"":""25.061023"",""lng"":""121.563399""}"
"台灣基督長老教會三仙教會","教會","台灣 - 台東縣","台灣基督長老教會總會事務所","郭清鳳 牧師","089-850-950","https://church.oursweb.net/church.php?pkey=811269","961001台東縣成功鎮三仙里白蓮路221號","{""lat"":""23.1308490"",""lng"":""121.3982120""}"
"台灣基督長老教會三民教會（壽中）","教會","台灣 - 高雄市","台灣基督長老教會總會事務所","李子和 牧師","07-282-2591","https://church.oursweb.net/church.php?pkey=811271","807003高雄市三民區三德西街138號","{""lat"":""22.6383240"",""lng"":""120.2927970""}"
"台灣基督長老教會二崙教會","教會","台灣 - 雲林縣","台灣基督長老教會總會事務所","廖建志 牧師","05-598-2406","https://church.oursweb.net/church.php?pkey=811246","649001雲林縣二崙鄉崙東村中山路一段163號","{""lat"":""23.7715850"",""lng"":""120.4152015""}"
"二層行台福基督教會","教會","台灣 - 台南市","台福基督教會總會台灣辦事處","郝秀麗","06-266-4249","https://church.oursweb.net/church.php?pkey=811248","717004台南市仁德區二行一路62號","{""lat"":""22.9173930"",""lng"":""120.2243790""}"
"台灣基督長老教會八里教會","教會","台灣 - 新北市","台灣基督長老教會總會事務所","林禧岳 牧師","02-2610-1188","https://church.oursweb.net/church.php?pkey=811251","249002新北市八里區訊塘路80號","{""lat"":""25.1461205"",""lng"":""121.397693""}"
"台灣基督長老教會八德教會（竹中）","教會","台灣 - 桃園市","台灣基督長老教會總會事務所","卓宗仁 牧師","03-362-7202","https://church.oursweb.net/church.php?pkey=811255","334022桃園市八德區自強街39號","{""lat"":""24.9682060"",""lng"":""121.3025170""}"
