"Title","Type","Area","Source","PIC","Tel","href","Addr","Pos"
"上光基督教會","教會","台灣 - 新竹縣","victoria@greenark.net","高正勝 (達那伊谷) 牧師","0910427360","https://church.oursweb.net/church.php?pkey=811307","313004新竹縣尖石鄉鄉錦屏村6鄰16號之2","{""lat"":""24.6813208"",""lng"":""121.2126772""}"
"財團法人台灣省中華基督教恩霖堂","教會","台灣 - 新竹縣","","葉輔宏 牧師","03-592-3728","https://church.oursweb.net/church.php?pkey=811371","","{}"
"中華聖潔會竹北教會","教會","台灣 - 新竹縣","財團法人基督教中華聖潔會","鄧欽志","03-588-9828","https://church.oursweb.net/church.php?pkey=811464","305043新竹縣新埔鎮褒忠路87號","{""lat"":""24.7372223"",""lng"":""121.0869376""}"
"中華聖潔會新豐教會新豐堂","教會","台灣 - 新竹縣","財團法人基督教中華聖潔會","劉修泉 牧師","03-559-1898","https://church.oursweb.net/church.php?pkey=811471","304109新竹縣新豐鄉建興路一段45號","{""lat"":""24.8711740"",""lng"":""120.9953833""}"
"中華聖潔會關西教會","教會","台灣 - 新竹縣","","孫秀琴 傳道","03-587-2773","https://church.oursweb.net/church.php?pkey=811473","","{}"
"台灣基督長老教會五峰教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","以紹．芝佑牧師","03-585-1782","https://church.oursweb.net/church.php?pkey=811551","311001新竹縣五峰鄉大隘村12鄰190-1號","{""lat"":""24.622643162380"",""lng"":""121.091709774621""}"
"台灣基督長老教會田埔教會（泰中）","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","徐正義","03-584-7816","https://church.oursweb.net/church.php?pkey=812060","313004新竹縣尖石鄉秀巒村1鄰1號","{""lat"":""24.619296"",""lng"":""121.286284""}"
"竹北聖教會","教會","台灣 - 新竹縣","台灣聖教會總會","陳雲明 牧師","03-555-3092","https://church.oursweb.net/church.php?pkey=812137","302081新竹縣竹北市中山路503號","{""lat"":""24.8386510"",""lng"":""121.0134680""}"
"台灣基督長老教會竹東教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","何碧安 牧師","03-596-9126","https://church.oursweb.net/church.php?pkey=812141","310004新竹縣竹東鎮長春路三段121號","{""lat"":""24.7427171"",""lng"":""121.0842793""}"
"改革宗長老會花園教會","教會","台灣 - 新竹縣","基督教改革宗長老會","","03-585-1371","https://church.oursweb.net/church.php?pkey=812205","311001新竹縣五峰鄉花園村7鄰154號","{""lat"":""24.6823340"",""lng"":""121.1648490""}"
"台灣基督長老教會二重埔教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","連江河 牧師","03-582-6932","https://church.oursweb.net/church.php?pkey=811245","310016新竹縣竹東鎮中興路二段335號","{""lat"":""24.7636200"",""lng"":""121.0593860""}"
"中華基督教信義會厚賜堂","教會","台灣 - 新竹縣","財團法人台灣省中華基督教信義會","","03-596-0457","https://church.oursweb.net/church.php?pkey=811370","310006新竹縣竹東鎮東寧路二段11巷1號","{""lat"":""24.7295470"",""lng"":""121.0913690""}"
"基督教中華聖潔會北埔教會","教會","台灣 - 新竹縣","財團法人基督教中華聖潔會","詹智華","0971-779-712","https://church.oursweb.net/church.php?pkey=811461","314001新竹縣北埔鄉城門街46號","{""lat"":""24.6991190"",""lng"":""121.0558790""}"
