"Title","Type","Area","Tel","PIC","href"
"上光基督教會","教會","台灣 - 新竹縣","0910427360","高正勝 (達那伊谷) 牧師","https://church.oursweb.net/church.php?pkey=811307"
"財團法人台灣省中華基督教恩霖堂","教會","台灣 - 新竹縣","03-592-3728","葉輔宏 牧師","https://church.oursweb.net/church.php?pkey=811371"
"中華聖潔會竹北教會","教會","台灣 - 新竹縣","03-588-9828","鄧欽志","https://church.oursweb.net/church.php?pkey=811464"
"中華聖潔會新豐教會新豐堂","教會","台灣 - 新竹縣","03-559-1898","劉修泉 牧師","https://church.oursweb.net/church.php?pkey=811471"
"中華聖潔會關西教會","教會","台灣 - 新竹縣","03-587-2773","孫秀琴 傳道","https://church.oursweb.net/church.php?pkey=811473"
"台灣基督長老教會五峰教會","教會","台灣 - 新竹縣","03-585-1782","以紹．芝佑牧師","https://church.oursweb.net/church.php?pkey=811551"
"台灣基督長老教會田埔教會（泰中）","教會","台灣 - 新竹縣","03-584-7816","徐正義","https://church.oursweb.net/church.php?pkey=812060"
"竹北聖教會","教會","台灣 - 新竹縣","03-555-3092","陳雲明 牧師","https://church.oursweb.net/church.php?pkey=812137"
"台灣基督長老教會竹東教會","教會","台灣 - 新竹縣","03-596-9126","何碧安 牧師","https://church.oursweb.net/church.php?pkey=812141"
"改革宗長老會花園教會","教會","台灣 - 新竹縣","03-585-1371","","https://church.oursweb.net/church.php?pkey=812205"
"台灣基督長老教會二重埔教會","教會","台灣 - 新竹縣","03-582-6932","連江河 牧師","https://church.oursweb.net/church.php?pkey=811245"
"中華基督教信義會厚賜堂","教會","台灣 - 新竹縣","03-596-0457","","https://church.oursweb.net/church.php?pkey=811370"
"基督教中華聖潔會北埔教會","教會","台灣 - 新竹縣","0971-779-712","詹智華","https://church.oursweb.net/church.php?pkey=811461"
"中華聖潔會新埔教會","教會","台灣 - 新竹縣","03-588-3196","徐蘭勝 牧師","https://church.oursweb.net/church.php?pkey=811470"
"中華聖潔會鳳山村教會","教會","台灣 - 新竹縣","03-597-6906","蘇秀娟 教師","https://church.oursweb.net/church.php?pkey=811472"
"台灣基督長老教會五尖教會","教會","台灣 - 新竹縣","03-594-0706","明當．尤淦 牧師","https://church.oursweb.net/church.php?pkey=811544"
"六家福音中心","教會","台灣 - 新竹縣","03-591-6330, 0920-030972","湯心如","https://church.oursweb.net/church.php?pkey=811590"
"台灣基督長老教會竹北教會","教會","台灣 - 新竹縣","03-555-3706","林坤麟 牧師","https://church.oursweb.net/church.php?pkey=812136"
"竹東五福禮拜堂","教會","台灣 - 新竹縣","03-5940104","賴傳榮","https://church.oursweb.net/church.php?pkey=812140"
"改革宗長老會竹東教會","教會","台灣 - 新竹縣","03-596-4821","鄒仁裕","https://church.oursweb.net/church.php?pkey=812200"
"中華拓荒團橫山社區福音中心","教會","台灣 - 新竹縣","03-593-1447","鍾聖一 傳道","https://church.oursweb.net/church.php?pkey=812379"
"台灣基督長老教會石磊教會","教會","台灣 - 新竹縣","03-584-7003","羅路加","https://church.oursweb.net/church.php?pkey=812466"
"台灣基督長老教會湖口教會","教會","台灣 - 新竹縣","03-599-2442","彭榮光 牧師","https://church.oursweb.net/church.php?pkey=812533"
"新竹靈糧堂","教會","台灣 - 新竹縣","03-558-8577","苗其傑 牧師","https://church.oursweb.net/church.php?pkey=812644"
"台灣基督長老教會新豐教會（竹中）","教會","台灣 - 新竹縣","03-557-9095","林立倫 牧師","https://church.oursweb.net/church.php?pkey=812697"
"台灣基督長老教會煤源教會","教會","台灣 - 新竹縣","03-584-2423","溫嬌玲 牧師","https://church.oursweb.net/church.php?pkey=812720"
"台灣基督長老教會那羅教會","教會","台灣 - 新竹縣","03-584-1034","邱榮忠 牧師","https://church.oursweb.net/church.php?pkey=812807"
"台灣基督長老教會嘉樂教會","教會","台灣 - 新竹縣","0989-821863","江瑞乾 牧師","https://church.oursweb.net/church.php?pkey=812935"
"台灣基督長老教會帛納外教會","教會","台灣 - 新竹縣","03-391-2506","羅慶部","https://church.oursweb.net/church.php?pkey=813081"
"台灣基督長老教會鎮西堡教會","教會","台灣 - 新竹縣","03-584-7713","諾瓦．歐洛 牧師","https://church.oursweb.net/church.php?pkey=813283"
"台灣基督長老教會山光教會（泰中）","教會","台灣 - 新竹縣","03-597-1644","賴安淋 牧師","https://church.oursweb.net/church.php?pkey=812262"
"台灣基督長老教會水田教會","教會","台灣 - 新竹縣","03-584-1852","黃志宏 牧師","https://church.oursweb.net/church.php?pkey=812431"
"台灣基督長老教會司馬庫斯教會","教會","台灣 - 新竹縣","03-584-7622","亞拉.比呼 牧師","https://church.oursweb.net/church.php?pkey=812514"
"湖口浸信會","教會","台灣 - 新竹縣","03-599-0445","林東尼 牧師","https://church.oursweb.net/church.php?pkey=812534"
"台灣基督長老教會新埔教會","教會","台灣 - 新竹縣","03-588-2304","呂哲毅 傳道師","https://church.oursweb.net/church.php?pkey=812662"
"新豐崇真堂","教會","台灣 - 新竹縣","03-559-7691","孫世淦","https://church.oursweb.net/church.php?pkey=812699"
"台灣基督長老教會義興教會","教會","台灣 - 新竹縣","03-584-2082","亞崴．尤命 傳道師","https://church.oursweb.net/church.php?pkey=812754"
"台灣基督長老教會嵨瀨教會","教會","台灣 - 新竹縣","03-585-6234","烏杜夫．勒巴克 牧師","https://church.oursweb.net/church.php?pkey=812914"
"台灣基督長老教會福堂教會","教會","台灣 - 新竹縣","03-584-1724","哈告．伍道 牧師","https://church.oursweb.net/church.php?pkey=812986"
"台灣基督長老教會錦屏教會","教會","台灣 - 新竹縣","03-584-2466","林翠蓮 傳道師","https://church.oursweb.net/church.php?pkey=813198"
"台灣基督長老教會望愛教會","教會","台灣 - 新竹縣","03-596-3614","蘇盡女 牧師","https://church.oursweb.net/church.php?pkey=813452"
"基督教峨眉教會","教會","台灣 - 新竹縣","03-580-0667","楊宗勇 牧師","https://church.oursweb.net/church.php?pkey=813685"
"台灣基督長老教會泰崗教會","教會","台灣 - 新竹縣","03-584-7304","張保羅 牧師","https://church.oursweb.net/church.php?pkey=813745"
"台灣基督長老教會馬里光教會","教會","台灣 - 新竹縣","03-584-7286","督魯安．慕妮 牧師","https://church.oursweb.net/church.php?pkey=813911"
"台灣基督長老教會勒俄腊教會","教會","台灣 - 新竹縣","03-585-1144","曾永健 牧師","https://church.oursweb.net/church.php?pkey=813966"
"基督教主恩一心堂","教會","台灣 - 新竹縣","035-514834","陳更新","https://church.oursweb.net/church.php?pkey=814043"
"台灣基督長老教會梅花教會","教會","台灣 - 新竹縣","03-584-2351","莉慕苡．哈用 牧師","https://church.oursweb.net/church.php?pkey=814249"
