"Title","Addr","Price","Description","services","Rank","href","pos"
"東山棧","北屯區東山路一段380號,Taichung,406,臺北／臺中","500-800TWD•臺灣菜","東山棧於1999年開業，2019年遷至佔地三層的現址，用餐環境舒適。招牌菜甕缸雞精選2.5至3公斤的黑羽土雞，以龍眼木烤製而成，皮香肉嫩，風味非凡。客人可以選擇原隻上桌，自行扒雞進食，或由店家代為切開，佐雞汁同吃。紹興醉蝦和以雞汁燜煮的菜色亦深受歡迎。","JCB_Takeaway_X_Visa_中國銀聯","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/dong-shan-zhan","[""24.17669"",""120.7289""]"
"溫叨","北屯區太原路三段191號,Taichung,406,臺北／臺中","200-600TWD•臺灣菜","店名「溫叨」是臺語「我家」的諧音，提供古早味臺灣料理。餐廳位於紅磚堆疊的傳統三合院之中，包廂裡有舊日的床組與裝飾，客人也可以在院子享用餐點，氣氛就像辦桌般熱絡。推薦菜色包括三杯料理，以及辛辣鹹香的古法剁椒鱸魚。另一特色菜為柴燒桶仔雞，在院中用柴火燒烤四十分鐘而成，須提前預訂。","Takeaway_:_只接受現金_f_室外停車場_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/wen-tao","[""24.165158"",""120.69161""]"
"彭城堂","太平區宜昌路377號,Taichung,411,臺北／臺中","300-600TWD•臺灣菜","門外擺放著臺灣早期客運站牌、郵箱等舊物，餐廳內部的擺設更猶如穿越時空，重返祖父母的年代。除了老闆的珍貴收藏，這裡提供的家常料理同樣充滿親切感。古早味封肉刈包全套滋味鹹香，川七炒牛肉口感細嫩，十分推薦。另有豬油拌飯供自行取用，餐後更提供剉冰，令人有回家吃飯的溫馨感覺。","Takeaway_:_只接受現金_f_室外停車場_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/peng-cheng-tang","[""24.144892"",""120.7136472""]"
"英才大麵焿","北區英才路215號,Taichung,404,臺北／臺中","30-100TWD•麵食","大麵焿是臺中特有的滋味，然而隨著時代發展，販賣這種古早味麵食的店家已所剩無幾，英才大麵焿是其中一家超過五十年歷史的老店。它不僅保留了原有味道，還添加了紅蔥酥和韭菜，以及獨家秘方的辣椒醬，有助提香和平衡麵條的鹼味。另外也提供燒肉、油豆腐等特色小吃，選擇豐富。","Takeaway_不設訂位_:_只接受現金_含服務費","‹_米其林餐盤：供應美味菜餚的餐廳_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/ying-tsai-ta-mien-keng","[""24.15558"",""120.674453""]"
"阿坤麵","中區平等街142號,Taichung,400,臺北／臺中","60-100TWD•麵食","顧名思義，麵店由阿坤創辦，目前已經超過五十年歷史，傳至第三代掌舵。小店幾乎沒有裝潢，客人要先在門口點選食物，然後尋找座位。每天早上至中午提供古早味乾麵，搭配特製甜辣醬，十分滋味。湯則可選擇不同配料，包括最受歡迎的水晶餃、油豆腐，還有貢丸、豬血和福州丸等。亦可選綜合湯。","Takeaway_不設訂位_:_只接受現金_含服務費","=_必比登推介：具品質且經濟實惠的美食_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/a-kun-mian","[""24.143"",""120.68242""]"
"范記金之園 (中區)","中區成功路170號,Taichung,400,臺北／臺中","130-300TWD•臺灣菜","創立自1978年，現已傳至第二代，其傳統滋味廣受好評，招牌菜為排骨草袋飯。早期的草袋飯是在手工編製的藺草草袋中烹煮而成，藺草混合米香，風味獨特。雖然草袋技術已凋零，店家仍然選用霧峰臺梗九號米，口感飽滿，配合特製的雪裡紅乾，鹹香滋味。另推薦秘製的排骨和沙茶炒牛肉。所有餐點均現點製作，須耐心等待。","Takeaway_不設訂位_:_只接受現金_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/chin-chih-yuan","[""24.14131"",""120.6825015""]"
"富鼎旺 (中區)","中區臺灣大道一段560號,Taichung,400,臺北／臺中","100-200TWD•臺灣菜","採用特別的滷製方法，以醬油、紅蔥酥、糖和辣椒等代替中藥材，並以細火燉煮，熬製出滷豬腳、腿扣、腿節等美食。豬腳口感軟滑而且鹹香入味，搭配自家製作的辣椒醬，額外美味。同時提供魯肉飯、潤油豆腐等食品，全都價廉物美。小店為自助式，先於店前點餐，再自行入座，氣氛輕鬆隨意。","Takeaway_不設訂位_:_只接受現金_含服務費","=_必比登推介：具品質且經濟實惠的美食_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/fu-din-wang-central","[""24.145261"",""120.676576""]"
"茂川肉丸","中區臺灣大道一段401號,Taichung,400,臺北／臺中","60-200TWD•麵食","別看這小麵店裝潢簡樸，其實擁有過百年歷史。雖然經歷多次名字更改，始終不變的，是其手工製作的招牌肉丸，原材料包括在來米、太白粉、地瓜粉等，充滿嚼勁，而且毫無油膩感。佐以加入砂糖的白色米醬，與加入辣椒的特製海山醬享用，非常可口。另外提供每天現包的鮮蝦餛飩，皮薄透亮，同樣吸引。","Takeaway_不設訂位_:_只接受現金_E_無煙餐廳","‹_米其林餐盤：供應美味菜餚的餐廳_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/mao-chuan","[""24.1429411"",""120.6788556""]"
"沁園春","中區臺灣大道一段129號,Taichung,400,臺北／臺中","500-1,000TWD•江浙菜","開業逾七十載，至今已經傳至第四代，深受老顧客支持。內部採用傳統中式餐館設計，備有懷舊的沙發座椅、鏡子牆面和木製匾額。致力提供經典江浙菜和點心，小籠包、肴肉、醉雞、鱔糊等應有盡有，而且每道菜色均列明製作時間。小籠包現點現蒸，皮薄、肉餡飽滿且充滿湯汁，建議提早點菜，以免久候。","JCB_Takeaway_X_Visa_中國銀聯","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/qin-yuan-chun","[""24.139452"",""120.682718""]"
"上海未名麵點","中區市府路69號,Taichung,400,臺北／臺中","110-200TWD•麵食","開業逾七十載，經歴三代的傳承，堅持供應家庭風味的上海麵食。他們甚至與造麵廠合作，根據家傳配方，製作出獨家口味、不含化學添加劑的上海麵。推薦用新鮮豬肉烹調的豬排麵，佐以自由添加的醃蔥段，十分解膩。另有多款涼菜供外帶，如酸豆、黃瓜等。鮮製的烏梅汁帶天然甜酸味，更是不容錯過。","Takeaway_不設訂位_:_只接受現金_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/no-name-noodles","[""24.13963"",""120.68006""]"
